ordinal,fault_id,paired_fault_id,stuck_at,location_id,site_id,site_key,region,source_net,source_class,source_fanout,fanout_bucket,sink_instance,sink_cell_type,sink_pin,sink_role,stratum,result,screening_decision,xrun_exit_status,run_dir,xrun_log,signature_present,fault_json_present,fault_patch_present
21,BF0011_SA0,BF0011_SA1,0,BL00011,BS000476,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|\inc_add_1387_74_I4/g1728|A,csr_debug,\inc_add_1387_74_I4/n_19,combinational_output,2,2,\inc_add_1387_74_I4/g1728,INV_X1,A,combinational_input,csr_debug|combinational_output|2,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0011_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0011_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
22,BF0011_SA1,BF0011_SA0,1,BL00011,BS000476,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|\inc_add_1387_74_I4/g1728|A,csr_debug,\inc_add_1387_74_I4/n_19,combinational_output,2,2,\inc_add_1387_74_I4/g1728,INV_X1,A,combinational_input,csr_debug|combinational_output|2,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0011_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0011_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
23,BF0012_SA0,BF0012_SA1,0,BL00012,BS000528,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|\inc_add_1387_74_I4/g1666|A,csr_debug,\inc_add_1387_74_I4/n_74,combinational_output,2,2,\inc_add_1387_74_I4/g1666,INV_X1,A,combinational_input,csr_debug|combinational_output|2,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0012_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0012_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
24,BF0012_SA1,BF0012_SA0,1,BL00012,BS000528,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|\inc_add_1387_74_I4/g1666|A,csr_debug,\inc_add_1387_74_I4/n_74,combinational_output,2,2,\inc_add_1387_74_I4/g1666,INV_X1,A,combinational_input,csr_debug|combinational_output|2,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0012_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0012_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
25,BF0013_SA0,BF0013_SA1,0,BL00013,BS000540,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|\inc_add_1387_74_I4/g1652|A1,csr_debug,\inc_add_1387_74_I4/n_92,combinational_output,2,2,\inc_add_1387_74_I4/g1652,NAND2_X1,A1,combinational_input,csr_debug|combinational_output|2,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0013_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0013_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
26,BF0013_SA1,BF0013_SA0,1,BL00013,BS000540,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|\inc_add_1387_74_I4/g1652|A1,csr_debug,\inc_add_1387_74_I4/n_92,combinational_output,2,2,\inc_add_1387_74_I4/g1652,NAND2_X1,A1,combinational_input,csr_debug|combinational_output|2,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0013_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0013_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
27,BF0014_SA0,BF0014_SA1,0,BL00014,BS000583,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|g41444__1881|A2,csr_debug,\mhpmcounter_q[0] [15],sequential_output,4,3_4,g41444__1881,AOI22_X1,A2,combinational_input,csr_debug|sequential_output|3_4,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0014_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0014_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
28,BF0014_SA1,BF0014_SA0,1,BL00014,BS000583,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|g41444__1881|A2,csr_debug,\mhpmcounter_q[0] [15],sequential_output,4,3_4,g41444__1881,AOI22_X1,A2,combinational_input,csr_debug|sequential_output|3_4,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0014_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0014_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
29,BF0015_SA0,BF0015_SA1,0,BL00015,BS000588,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|g41445__5115|A2,csr_debug,\mhpmcounter_q[0] [16],sequential_output,5,5_8,g41445__5115,AOI22_X1,A2,combinational_input,csr_debug|sequential_output|5_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0015_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0015_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
30,BF0015_SA1,BF0015_SA0,1,BL00015,BS000588,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|g41445__5115|A2,csr_debug,\mhpmcounter_q[0] [16],sequential_output,5,5_8,g41445__5115,AOI22_X1,A2,combinational_input,csr_debug|sequential_output|5_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0015_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0015_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
31,BF0016_SA0,BF0016_SA1,0,BL00016,BS000672,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|g42391__1617|A1,csr_debug,\mhpmcounter_q[0] [32],sequential_output,5,5_8,g42391__1617,AOI222_X1,A1,combinational_input,csr_debug|sequential_output|5_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0016_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0016_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
32,BF0016_SA1,BF0016_SA0,1,BL00016,BS000672,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|g42391__1617|A1,csr_debug,\mhpmcounter_q[0] [32],sequential_output,5,5_8,g42391__1617,AOI222_X1,A1,combinational_input,csr_debug|sequential_output|5_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0016_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0016_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
33,BF0017_SA0,BF0017_SA1,0,BL00017,BS000805,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|\inc_add_1387_74_I1/g1576|B,csr_debug,\mhpmcounter_q[0] [59],sequential_output,4,3_4,\inc_add_1387_74_I1/g1576,XNOR2_X1,B,combinational_input,csr_debug|sequential_output|3_4,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0017_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0017_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
34,BF0017_SA1,BF0017_SA0,1,BL00017,BS000805,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|\inc_add_1387_74_I1/g1576|B,csr_debug,\mhpmcounter_q[0] [59],sequential_output,4,3_4,\inc_add_1387_74_I1/g1576,XNOR2_X1,B,combinational_input,csr_debug|sequential_output|3_4,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0017_SA1/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0017_SA1/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
35,BF0018_SA0,BF0018_SA1,0,BL00018,BS001031,cv32e40p_cs_registers_N_HWLP2_APU0_A_EXTENSION0_FPU0_ZFINX0_PULP_SECURE0_USE_PMP0_N_PMP_ENTRIES16_NUM_MHPMCOUNTERS1_COREV_PULP0_COREV_CLUSTER0_DEBUG_TRIGGER_EN1|g41003__5477|A2,csr_debug,\mhpmcounter_q[2] [45],sequential_output,5,5_8,g41003__5477,AOI22_X1,A2,combinational_input,csr_debug|sequential_output|5_8,NOT_RUN,PENDING,,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0018_SA0/results/crc32/screen_seed20260729_mc2000000,/raid/spring2026/fwu44/research/fault2assertion/faults/cv32e40p/branchfault/BF0018_SA0/results/crc32/screen_seed20260729_mc2000000/xrun.log,False,True,True
